Dataset,dataset,Tarea,Semilla,Propuesta,Config,Accuracy,F1_macro,Acc_trivial,F1_trivial,Supera trivial,D_g,|SPD|,|EOD|,DI_min,Delta Acc,Delta D_g,Delta DI_min,lambda,modo,eta,w_min,atenuados,modo_sensible
Dutch Census,dutch,binary,21,Fair-GAD,lambda=0.5,0.7152432969215492,0.7149070477356416,0.5239159218801721,0.34379581862612,True,0.00466563756995327,0.10648872697655706,0.027603699160137662,0.7849836285333945,-0.006206554121151897,-0.039747520775800994,0.0768208443978553,0.5,directional,,,,por defecto del cargador
Dutch Census,dutch,binary,21,Fair-GAD,lambda=0.8,0.7154915590863953,0.7151731964055357,0.5239159218801721,0.34379581862612,True,0.0032423866871651164,0.10434640614277524,0.03001060193669275,0.7892384921625598,-0.005958291956305817,-0.04117077165858915,0.08107570802702058,0.8,directional,,,,por defecto del cargador
Dutch Census,dutch,binary,21,Fair-GAD,lambda=1.2,0.7031612048990401,0.7031230459691913,0.5239159218801721,0.34379581862612,True,4.5942990308499763e-05,0.05674004048179629,0.07435709202032947,0.8849698538495522,-0.01828864614366099,-0.044367215355445765,0.17680706971401294,1.2,directional,,,,por defecto del cargador
COMPAS,compas,binary,21,Fair-GAD,lambda=0.1,0.6164772727272727,0.605647153417531,0.5293560606060606,0.3461300309597523,True,0.21279731003915053,0.2878440844542539,0.27031595573291045,0.3934713934713934,-0.015151515151515138,-0.07328744324866854,0.10177726031384565,0.1,directional,,,,por defecto del cargador
COMPAS,compas,binary,21,Fair-GAD,lambda=0.2,0.6041666666666666,0.5760388492746495,0.5293560606060606,0.3461300309597523,True,0.06353762038989688,0.13838337567151127,0.12150269021297595,0.5743563468681951,-0.027462121212121215,-0.2225471328979222,0.28266221371064737,0.2,directional,,,,por defecto del cargador
COMPAS,compas,binary,21,Fair-GAD,lambda=0.3,0.6126893939393939,0.5813321830333991,0.5293560606060606,0.3461300309597523,True,0.10239130716895033,0.17615458293424394,0.15551177205737188,0.4555984555984556,-0.018939393939393923,-0.18369344611886873,0.1639043224409078,0.3,directional,,,,por defecto del cargador
COMPAS,compas,binary,21,Fair-GAD,lambda=0.5,0.6098484848484849,0.577066200058326,0.5293560606060606,0.3461300309597523,True,0.09437675683585206,0.16845042268771082,0.1480351543458836,0.46671061305207645,-0.021780303030302983,-0.191707996451967,0.17501647989452868,0.5,directional,,,,por defecto del cargador
COMPAS,compas,binary,21,Fair-GAD,lambda=0.8,0.5984848484848485,0.5676527502578186,0.5293560606060606,0.3461300309597523,True,0.04974038764291553,0.12297505517844501,0.1065494547899994,0.6029312894984536,-0.03314393939393934,-0.23634436564490355,0.3112371563409059,0.8,directional,,,,por defecto del cargador
COMPAS,compas,binary,21,Fair-GAD,lambda=1.2,0.5899621212121212,0.556265921364834,0.5293560606060606,0.3461300309597523,True,0.03602152588350829,0.10910756673468539,0.09339156005315728,0.6311936936936936,-0.04166666666666663,-0.25006322740431075,0.33949956053614583,1.2,directional,,,,por defecto del cargador
Communities and Crime,communities,multiclass,21,Fair-GAD,lambda=0.1,0.5238095238095238,0.522085597178534,0.3408521303258145,0.16947040498442367,True,0.0791735034444186,0.2165869218500797,0.12213431607088325,0.3343137254901961,-0.03508771929824561,-0.04217265961177982,0.05014705882352943,0.1,directional,,,,por defecto del cargador
